pair,lambda,beta,seed,block,domain,images,selected,coverage,student_audit_pre_ce,student_audit_post_ce,teacher_audit_pre_ce,teacher_audit_post_ce,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00015,0.7,0.0015,404,15,jpeg_compression,6000,2163,0.3605,3.5816421508789062,2.651078701019287,1.74018132686615,1.7540003061294556,2.126210024757305,0.7194044101035828,2.9192568176934537,2.7236667719576837,0.8276699894335995,3.792481220902064,2.735264666016635,1.0244984763203597,3.699660618144089,1.9995819224089142,0.4204305412696062,2.889783756499173,2.6048239297560936,0.5389493177319323,3.7694021903264,2.6227027960250684,0.757244994005619,3.6743017602596453
l07_b00015,0.7,0.0015,505,1,gaussian_noise,6000,1808,0.30133333333333334,5.527081489562988,4.701551914215088,5.527081489562988,3.8044960498809814,3.3522180452950154,2.437827083283197,3.746592773185607,3.523449458286721,2.474021298484183,3.976065420338964,4.479731906978795,3.5118962216087413,4.897157221661298,3.0606417009382456,1.6860945744536198,3.653480728773215,3.24074964896716,1.7435659758727322,3.8864815385078852,4.292750868822505,3.1386446589980483,4.79051423412847
l07_b00015,0.7,0.0015,505,2,shot_noise,6000,1592,0.2653333333333333,4.700183391571045,5.367778778076172,3.444540023803711,2.888416290283203,3.1483284005888286,1.9015527030196486,3.5986158122335974,3.425827663942552,1.9595850344734473,3.9553780872898328,4.003439297128625,2.675183069121333,4.483154341363566,2.9157480621219287,1.193961323301022,3.537591185579934,3.207741803050907,1.2725935364183807,3.9066429011631993,3.8206801454560053,2.1566870903173765,4.421650414008795
l07_b00015,0.7,0.0015,505,3,impulse_noise,6000,2458,0.4096666666666667,4.925013065338135,2.5183074474334717,1.563510537147522,1.4391310214996338,2.845189272921787,1.6990684992155731,3.640549200016614,3.0780568083739666,1.7501735298777068,3.9995523189735716,3.0989683871977256,1.8776299476261444,3.9465262314854,2.6008323719551094,1.1751450138971844,3.5901998270952484,2.842880082414579,1.2396970738420652,3.9554221024798646,2.8660955709227833,1.409490038476106,3.8769189471943606
l07_b00015,0.7,0.0015,505,4,defocus_blur,6000,2866,0.4776666666666667,2.3753223419189453,1.9270135164260864,1.123853325843811,1.086939811706543,2.01121603044522,0.9037986786138814,3.023934004391809,2.4251135179201477,0.9776728176352466,3.7487781787422683,2.3682631385932114,1.0798833705766557,3.5464687592490645,1.8056637500363169,0.5078399474117745,2.99250581076444,2.2278095403848215,0.59289917368594,3.7229126389677836,2.1792107453432474,0.7112698584712445,3.5216225455267702
l07_b00015,0.7,0.0015,505,5,glass_blur,6000,1589,0.2648333333333333,3.2965238094329834,3.1194896697998047,2.0798399448394775,2.0378050804138184,2.9210936423016003,1.29584286936477,3.506567112761047,3.4597821268670383,1.3965663204423437,4.203026270237893,3.3687520974616256,1.6731909771891986,3.9795538703278424,2.719054264109623,0.6480186701269951,3.4651153747054932,3.267812074168273,0.7724379839281186,4.166735091486707,3.1978023688467627,1.1394691320382424,3.9392876359718447
l07_b00015,0.7,0.0015,505,6,motion_blur,6000,2802,0.467,2.809307336807251,1.965379238128662,1.18497896194458,1.1774673461914062,2.1367440697885023,0.998173675497479,3.1343282614093426,2.5139346666634497,1.0639453505772214,3.7843755871367484,2.554310942620325,1.1906029560215805,3.749154525625228,1.9444468832599542,0.6259679006291297,3.099662051906475,2.3270406940102917,0.7022963538585297,3.750597179659209,2.3681007706751807,0.8419198421456594,3.7052986949214985
l07_b00015,0.7,0.0015,505,7,zoom_blur,6000,2944,0.49066666666666664,1.9403680562973022,1.784050464630127,1.1032688617706299,1.0969852209091187,1.658548887642115,0.5618547345625496,2.7150500612894466,2.152610357468927,0.6435942128815797,3.6063222454483626,2.1475931581588004,0.74810546930277,3.495790722292357,1.5255256540921989,0.3143563574269636,2.6923065472147294,2.0273640899604084,0.4048507819739299,3.5904135594342943,2.0214628834053103,0.519631758434348,3.4682530770946163
l07_b00015,0.7,0.0015,505,8,snow,6000,2112,0.352,2.935591697692871,2.4586665630340576,1.5574207305908203,1.5263354778289795,2.1414637846523434,0.7258409555126621,2.910444086901058,2.8406852987789057,0.8384101922977423,3.92834091217608,2.571029395392366,0.9711842198602252,3.440081095681431,1.995467613702864,0.36927826889621257,2.878829726931167,2.703633043723612,0.4963208159992916,3.9026668464380574,2.433759544816402,0.6484050287263977,3.403581751087515
l07_b00015,0.7,0.0015,505,9,frost,6000,2045,0.3408333333333333,2.603640556335449,2.1034984588623047,1.7251582145690918,1.6949859857559204,2.246979806733229,0.6893876910006548,3.0523592951461507,2.935534625993295,0.8101868166408951,4.034481849792448,2.5975890371764443,0.9324850183296362,3.458559383204689,2.1155386662302376,0.3450253855581318,3.0310126634424894,2.8079038407041828,0.48055179744063725,4.011300788485206,2.4828671595216725,0.6503508802119344,3.430400861465645
l07_b00015,0.7,0.0015,505,10,fog,6000,1844,0.30733333333333335,2.6567468643188477,2.437466859817505,1.640354037284851,1.5806057453155518,2.363139340737038,0.8031949679366079,3.0552802029709176,3.037884627731226,0.9258743421111753,3.97497485070605,2.736227364509734,1.0400512600536638,3.4888136822712847,2.207839786902873,0.3725509759238023,3.022149836817553,2.8922799257438885,0.5125169510361075,3.948170908747052,2.5964398533100685,0.6663119838701665,3.4528296009633856
l07_b00015,0.7,0.0015,505,11,brightness,6000,3063,0.5105,2.8823366165161133,2.163750171661377,1.211746335029602,1.2108465433120728,1.6441408519000698,0.573399226485194,2.760818277383815,2.093324281104454,0.6582529887807531,3.5899614511376474,2.1910875583184053,0.8334040650957324,3.6070169215261156,1.5125211455826548,0.3313242236914878,2.744392501303677,1.9668729631878799,0.4234828895423341,3.5764758898396702,2.0671503720734825,0.6138278574365053,3.5828217586356437
